Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5419","Yield","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2017","2017","100 g/ha","24952","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","2017","100 g/ha","84544","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01640","Cocoa beans","2017","2017","100 g/ha","2289","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01460","Coconuts, in shell","2017","2017","100 g/ha","53661","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01610","Coffee, green","2017","2017","100 g/ha","6943","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01232","Cucumbers and gherkins","2017","2017","100 g/ha","63225","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01233","Eggplants (aubergines)","2017","2017","100 g/ha","170668","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01315","Figs","2017","2017","100 g/ha","25523","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01657","Ginger, raw","2017","2017","100 g/ha","63690","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01330","Grapes","2017","2017","100 g/ha","213285","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01252","Green garlic","2017","2017","100 g/ha","52741","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0142","Groundnuts, excluding shelled","2017","2017","100 g/ha","13978","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01922.01","Jute, raw or retted","2017","2017","100 g/ha","26595","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01922.02","Kenaf, and other textile bast fibres, raw or retted","2017","2017","100 g/ha","11807","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01322","Lemons and limes","2017","2017","100 g/ha","95323","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01704","Lentils, dry","2017","2017","100 g/ha","8376","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01214","Lettuce and chicory","2017","2017","100 g/ha","63348","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01441","Linseed","2017","2017","100 g/ha","5665","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0112","Maize (corn)","2017","2017","100 g/ha","26886","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01316","Mangoes, guavas and mangosteens","2017","2017","100 g/ha","94385","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0118","Millet","2017","2017","100 g/ha","12709","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01950.01","Natural rubber in primary forms","2017","2017","100 g/ha","20919","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01653","Nutmeg, mace, cardamoms, raw","2017","2017","100 g/ha","3981","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01239.01","Okra","2017","2017","100 g/ha","118402","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2017","2017","100 g/ha","171723","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01323","Oranges","2017","2017","100 g/ha","127238","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01241.90","Other beans, green","2017","2017","100 g/ha","28266","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2017","2017","100 g/ha","70570","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01329","Other citrus fruit, n.e.c.","2017","2017","100 g/ha","103529","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01359.90","Other fruits, n.e.c.","2017","2017","100 g/ha","94901","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01449.90","Other oil seeds, n.e.c.","2017","2017","100 g/ha","3092","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01709.90","Other pulses n.e.c.","2017","2017","100 g/ha","4403","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2017","2017","100 g/ha","30266","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01349.20","Other stone fruits","2017","2017","100 g/ha","39722","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01319","Other tropical fruits, n.e.c.","2017","2017","100 g/ha","124558","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01290.90","Other vegetables, fresh n.e.c.","2017","2017","100 g/ha","138291","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01317","Papayas","2017","2017","100 g/ha","443284","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01342.01","Pears","2017","2017","100 g/ha","78636","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01705","Peas, dry","2017","2017","100 g/ha","9550","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01242","Peas, green","2017","2017","100 g/ha","100849","A","Official figure",""
