Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5419","Yield","0118","Millet","2019","2019","100 g/ha","12114","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01950.01","Natural rubber in primary forms","2019","2019","100 g/ha","21569","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01653","Nutmeg, mace, cardamoms, raw","2019","2019","100 g/ha","3619","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01239.01","Okra","2019","2019","100 g/ha","120390","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2019","2019","100 g/ha","187041","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01323","Oranges","2019","2019","100 g/ha","144954","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01241.90","Other beans, green","2019","2019","100 g/ha","28289","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2019","2019","100 g/ha","69860","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01329","Other citrus fruit, n.e.c.","2019","2019","100 g/ha","91250","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01359.90","Other fruits, n.e.c.","2019","2019","100 g/ha","91067","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01449.90","Other oil seeds, n.e.c.","2019","2019","100 g/ha","3107","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01709.90","Other pulses n.e.c.","2019","2019","100 g/ha","4365","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2019","2019","100 g/ha","17403","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01349.20","Other stone fruits","2019","2019","100 g/ha","38691","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01319","Other tropical fruits, n.e.c.","2019","2019","100 g/ha","133705","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01290.90","Other vegetables, fresh n.e.c.","2019","2019","100 g/ha","142125","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01317","Papayas","2019","2019","100 g/ha","406040","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01342.01","Pears","2019","2019","100 g/ha","71429","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01705","Peas, dry","2019","2019","100 g/ha","13380","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01242","Peas, green","2019","2019","100 g/ha","100761","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01651","Pepper (Piper spp.), raw","2019","2019","100 g/ha","4783","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01707","Pigeon peas, dry","2019","2019","100 g/ha","7287","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01318","Pineapples","2019","2019","100 g/ha","164519","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01510","Potatoes","2019","2019","100 g/ha","230971","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01443","Rape or colza seed","2019","2019","100 g/ha","15114","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","0113","Rice","2019","2019","100 g/ha","40837","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01446","Safflower seed","2019","2019","100 g/ha","5369","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01921.01","Seed cotton, unginned","2019","2019","100 g/ha","14712","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01444","Sesame seed","2019","2019","100 g/ha","4854","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","0114","Sorghum","2019","2019","100 g/ha","8491","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","0141","Soya beans","2019","2019","100 g/ha","11919","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01802","Sugar cane","2019","2019","100 g/ha","801045","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01445","Sunflower seed","2019","2019","100 g/ha","8255","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01530","Sweet potatoes","2019","2019","100 g/ha","105091","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01620","Tea leaves","2019","2019","100 g/ha","96582","E","Estimated value"
